Patient info	100	400	2390	460	S	1
Patient name	430	400	1820	460	L	2
Chart number	2060	400	2390	460	L	2
Background	110	500	2390	880	S	1
Chief Complaint	110	500	2390	550	S	2
None	560	500	860	550	SO	3
CC	860	500	2390	550	L	3
Medical history	110	550	2390	600	S	2
WNL	560	550	860	600	SO	3
Significant	860	550	2390	600	L	3
Practical issues	110	600	2390	690	S	2
Availability	560	600	2390	640	L	3
Other	560	640	2390	690	L	3
Head and neck	110	690	2390	740	S	2
Negative	560	690	860	740	SO	3
Significant	860	690	2390	740	L	3
TMJ	110	740	2390	790	S	2
Negative	560	740	860	790	SO	3
Significant	860	740	2390	790	L	3
Oral cancer	110	790	2390	840	S	2
Negative	560	790	860	840	SO	3
Significant	860	790	2390	840	L	3
Radiograph	110	840	2390	880	SS	2
None	560	840	860	880	SO	3
FMX	860	840	1160	880	SO	3
Bitewings	1160	840	1660	880	SO	3
Other	1660	840	2390	880	SO	3
Periodontal status	110	880	2260	1160	S	1
Inflammation	560	880	2260	930	S	2
Type	1010	880	1740	930	SS	3
None	1010	880	1155	930	SO	4
Slight	1155	880	1310	930	SO	4
Moderate	1310	880	1520	930	SO	4
Severe	1520	880	1740	930	SO	4
Severity	1830	880	2260	930	SS	3
Localized	1830	880	2040	930	SO	4
Generalized	2040	880	2260	930	SO	4
Bone loss	560	930	2260	980	S	2
Type	1010	930	1740	980	SS	3
None	1010	930	1155	980	SO	4
Slight	1155	930	1310	980	SO	4
Moderate	1310	930	1520	980	SO	4
Severe	1520	930	1740	980	SO	4
Severity	1830	930	2260	980	SS	3
Localized	1830	930	2040	980	SO	4
Generalized	2040	930	2260	980	SO	4
Plaque	560	980	2260	1030	S	2
Type	1010	980	1740	1030	SS	3
None	1010	980	1155	1030	SO	4
Slight	1155	980	1310	1030	SO	4
Moderate	1310	980	1520	1030	SO	4
Severe	1520	980	1740	1030	SO	4
Severity	1830	980	2260	1030	SS	3
Localized	1830	980	2040	1030	SO	4
Generalized	2040	980	2260	1030	SO	4
Pockets	560	1030	1480	1080	SS	2
