code	procedure uri	procedure name
2140	http://purl.obolibrary.org/obo/OHD_0000041	amalgam filling restoration procedure
2150	http://purl.obolibrary.org/obo/OHD_0000041	amalgam filling restoration procedure
2160	http://purl.obolibrary.org/obo/OHD_0000041	amalgam filling restoration procedure
2161	http://purl.obolibrary.org/obo/OHD_0000041	amalgam filling restoration procedure
2330	http://purl.obolibrary.org/obo/OHD_0000042	resin filling restoration procedure
2331	http://purl.obolibrary.org/obo/OHD_0000042	resin filling restoration procedure
2332	http://purl.obolibrary.org/obo/OHD_0000042	resin filling restoration procedure
2335	http://purl.obolibrary.org/obo/OHD_0000042	resin filling restoration procedure
2390	http://purl.obolibrary.org/obo/OHD_0000154	resin crown restoration procedure
2391	http://purl.obolibrary.org/obo/OHD_0000042	resin filling restoration procedure
2392	http://purl.obolibrary.org/obo/OHD_0000042	resin filling restoration procedure
2393	http://purl.obolibrary.org/obo/OHD_0000042	resin filling restoration procedure
2394	http://purl.obolibrary.org/obo/OHD_0000042	resin filling restoration procedure
2650	http://purl.obolibrary.org/obo/OHD_0000096	resin inlay restoration procedure
2651	http://purl.obolibrary.org/obo/OHD_0000096	resin inlay restoration procedure
2652	http://purl.obolibrary.org/obo/OHD_0000096	resin inlay restoration procedure
2662	http://purl.obolibrary.org/obo/OHD_0000169	resin onlay restoration procedure
2663	http://purl.obolibrary.org/obo/OHD_0000169	resin onlay restoration procedure
2664	http://purl.obolibrary.org/obo/OHD_0000169	resin onlay restoration procedure
2710	http://purl.obolibrary.org/obo/OHD_0000154	resin crown restoration procedure
2932	http://purl.obolibrary.org/obo/OHD_0000199	prefabricated resin crown restoration procedure
2960	http://purl.obolibrary.org/obo/OHD_0000045	resin laminate veneer restoration
2961	http://purl.obolibrary.org/obo/OHD_0000045	resin laminate veneer restoration
6710	http://purl.obolibrary.org/obo/OHD_0000154	resin crown restoration procedure
2410	http://purl.obolibrary.org/obo/OHD_0000039	gold filling restoraton procedure
2420	http://purl.obolibrary.org/obo/OHD_0000039	gold filling restoraton procedure
2430	http://purl.obolibrary.org/obo/OHD_0000039	gold filling restoraton procedure
2712	http://purl.obolibrary.org/obo/OHD_0000149	3/4 resin crown restoration procedure	
2510	http://purl.obolibrary.org/obo/OHD_0000022	metallic inlay restoration procedure
2520	http://purl.obolibrary.org/obo/OHD_0000022	metallic inlay restoration procedure
2530	http://purl.obolibrary.org/obo/OHD_0000022	metallic inlay restoration procedure
2542	http://purl.obolibrary.org/obo/OHD_0000138	metallic onlay restoration procedure
2543	http://purl.obolibrary.org/obo/OHD_0000138	metallic onlay restoration procedure
2544	http://purl.obolibrary.org/obo/OHD_0000138	metallic onlay restoration procedure
2792	http://purl.obolibrary.org/obo/OHD_0000142	noble metal crown restoration procedure
6606	http://purl.obolibrary.org/obo/OHD_0000167	noble metal inlay restoration procedure
6607	http://purl.obolibrary.org/obo/OHD_0000167	noble metal inlay restoration procedure
6614	http://purl.obolibrary.org/obo/OHD_0000153	noble metal onlay restoration procedure
6615	http://purl.obolibrary.org/obo/OHD_0000153	noble metal onlay restoration procedure
6792	http://purl.obolibrary.org/obo/OHD_0000142	noble metal crown restoration procedure
2782	http://purl.obolibrary.org/obo/OHD_0000040	3/4 noble metal crown restoration procedure
6782	http://purl.obolibrary.org/obo/OHD_0000040	3/4 noble metal crown restoration procedure
2790	http://purl.obolibrary.org/obo/OHD_0000157	high noble metal crown restoration procedure
6602	http://purl.obolibrary.org/obo/OHD_0000192	high noble metal inlay restoration procedure
6603	http://purl.obolibrary.org/obo/OHD_0000192	high noble metal inlay restoration procedure
6610	http://purl.obolibrary.org/obo/OHD_0000159	high noble metal onlay restoration procedure
6611	http://purl.obolibrary.org/obo/OHD_0000159	high noble metal onlay restoration procedure
679	http://purl.obolibrary.org/obo/OHD_0000157	high noble metal crown restoration procedure
2780	http://purl.obolibrary.org/obo/OHD_0000150	3/4 high noble metal crown restoration procedure
6780	http://purl.obolibrary.org/obo/OHD_0000150	3/4 high noble metal crown restoration procedure
2791	http://purl.obolibrary.org/obo/OHD_0000162	predominantly base metal crown restoration procedure	
6604	http://purl.obolibrary.org/obo/OHD_0000194	predominantly base metal inlay restoration procedure
6605	http://purl.obolibrary.org/obo/OHD_0000194	predominantly base metal inlay restoration procedure
6612	http://purl.obolibrary.org/obo/OHD_0000193	predominantly base metal onlay restoration proceduer
6613	http://purl.obolibrary.org/obo/OHD_0000193	predominantly base metal onlay restoration proceduer
6791	http://purl.obolibrary.org/obo/OHD_0000162	predominantly base metal crown restoration procedure	
2781	http://purl.obolibrary.org/obo/OHD_0000151	3/4 predominantly base metal crown restoration procedure
6781	http://purl.obolibrary.org/obo/OHD_0000151	3/4 predominantly base metal crown restoration procedure
2794	http://purl.obolibrary.org/obo/OHD_0000140	titanium crown restoration procedure
6624	http://purl.obolibrary.org/obo/OHD_0000196	titanium inlay restoration procedure
6634	http://purl.obolibrary.org/obo/OHD_0000195	titanium onlay restoration procedure
6794	http://purl.obolibrary.org/obo/OHD_0000140	titanium crown restoration procedure
2931	http://purl.obolibrary.org/obo/OHD_0000163	stainless steel crown restoration procedure
2610	http://purl.obolibrary.org/obo/OHD_0000094	ceramic inlay restoration procedure
2620	http://purl.obolibrary.org/obo/OHD_0000094	ceramic inlay restoration procedure
2630	http://purl.obolibrary.org/obo/OHD_0000094	ceramic inlay restoration procedure
2642	http://purl.obolibrary.org/obo/OHD_0000095	ceramic onlay restoration procedure
2643	http://purl.obolibrary.org/obo/OHD_0000095	ceramic onlay restoration procedure
2644	http://purl.obolibrary.org/obo/OHD_0000095	ceramic onlay restoration procedure
2740	http://purl.obolibrary.org/obo/OHD_0000155	ceramic crown restoration procedure
6600	http://purl.obolibrary.org/obo/OHD_0000094	ceramic inlay restoration procedure
6601	http://purl.obolibrary.org/obo/OHD_0000094	ceramic inlay restoration procedure
6608	http://purl.obolibrary.org/obo/OHD_0000095	ceramic onlay restoration procedure
6609	http://purl.obolibrary.org/obo/OHD_0000095	ceramic onlay restoration procedure
6740	http://purl.obolibrary.org/obo/OHD_0000155	ceramic crown restoration procedure
2783	http://purl.obolibrary.org/obo/OHD_0000152	3/4 ceramic crown restoration procedure
6783	http://purl.obolibrary.org/obo/OHD_0000152	3/4 ceramic crown restoration procedure
2962	http://purl.obolibrary.org/obo/OHD_0000046	porcelain laminate veneer restoration procedure
2722	http://purl.obolibrary.org/obo/OHD_0000166	resin with noble metal crown restoration procedure
6722	http://purl.obolibrary.org/obo/OHD_0000166	resin with noble metal crown restoration procedure
2720	http://purl.obolibrary.org/obo/OHD_0000148	resin with high noble metal crown restoration procedure
6720	http://purl.obolibrary.org/obo/OHD_0000148	resin with high noble metal crown restoration procedure
2721	http://purl.obolibrary.org/obo/OHD_0000139	resin with predominantly base metal crown restoration procedure
6721	http://purl.obolibrary.org/obo/OHD_0000139	resin with predominantly base metal crown restoration procedure
2933	http://purl.obolibrary.org/obo/OHD_0000164	stainless steel with resin window crown restoration procedure
2752	http://purl.obolibrary.org/obo/OHD_0000166	resin with noble metal crown restoration procedure
6752	http://purl.obolibrary.org/obo/OHD_0000166	resin with noble metal crown restoration procedure
2750	http://purl.obolibrary.org/obo/OHD_0000148	resin with high noble metal crown restoration procedure
6750	http://purl.obolibrary.org/obo/OHD_0000148	resin with high noble metal crown restoration procedure
2751	http://purl.obolibrary.org/obo/OHD_0000139	resin with predominantly base metal crown restoration procedure
6751	http://purl.obolibrary.org/obo/OHD_0000139	resin with predominantly base metal crown restoration procedure

