code	material uri	material name
2140	http://purl.obolibrary.org/obo/OHD_0000001	amalgam dental restoration material	
2150	http://purl.obolibrary.org/obo/OHD_0000001	amalgam dental restoration material
2160	http://purl.obolibrary.org/obo/OHD_0000001	amalgam dental restoration material
2161	http://purl.obolibrary.org/obo/OHD_0000001	amalgam dental restoration material
2330	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material	
2331	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2332	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2335	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2390	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2391	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2392	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2393	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2394	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2650	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2651	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2652	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2662	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2663	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2664	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2710	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2932	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2960	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2961	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
6710	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2410	http://purl.obolibrary.org/obo/OHD_0000034	gold foil dental restoration material
2420	http://purl.obolibrary.org/obo/OHD_0000034	gold foil dental restoration material
2430	http://purl.obolibrary.org/obo/OHD_0000034	gold foil dental restoration material
2712	http://purl.obolibrary.org/obo/OHD_0000036	resin dental restoration material
2510	http://purl.obolibrary.org/obo/OHD_0000048	metal dental restoration material
2520	http://purl.obolibrary.org/obo/OHD_0000048	metal dental restoration material
2530	http://purl.obolibrary.org/obo/OHD_0000048	metal dental restoration material
2542	http://purl.obolibrary.org/obo/OHD_0000048	metal dental restoration material
2543	http://purl.obolibrary.org/obo/OHD_0000048	metal dental restoration material
2544	http://purl.obolibrary.org/obo/OHD_0000048	metal dental restoration material
2792	http://purl.obolibrary.org/obo/OHD_0000146	noble metal dental restoration material
6606	http://purl.obolibrary.org/obo/OHD_0000146	noble metal dental restoration material
6607	http://purl.obolibrary.org/obo/OHD_0000146	noble metal dental restoration material
6614	http://purl.obolibrary.org/obo/OHD_0000146	noble metal dental restoration material
6615	http://purl.obolibrary.org/obo/OHD_0000146	noble metal dental restoration material
6792	http://purl.obolibrary.org/obo/OHD_0000146	noble metal dental restoration material
2782	http://purl.obolibrary.org/obo/OHD_0000146	noble metal dental restoration material
6782	http://purl.obolibrary.org/obo/OHD_0000146	noble metal dental restoration material
2790	http://purl.obolibrary.org/obo/OHD_0000147	high noble metal dental restoration material
6602	http://purl.obolibrary.org/obo/OHD_0000147	high noble metal dental restoration material
6603	http://purl.obolibrary.org/obo/OHD_0000147	high noble metal dental restoration material
6610	http://purl.obolibrary.org/obo/OHD_0000147	high noble metal dental restoration material
6611	http://purl.obolibrary.org/obo/OHD_0000147	high noble metal dental restoration material
6790	http://purl.obolibrary.org/obo/OHD_0000147	high noble metal dental restoration material
2780	http://purl.obolibrary.org/obo/OHD_0000147	high noble metal dental restoration material
6780	http://purl.obolibrary.org/obo/OHD_0000147	high noble metal dental restoration material
2791	http://purl.obolibrary.org/obo/OHD_0000156	predominantly base metal dental restoration material
6604	http://purl.obolibrary.org/obo/OHD_0000156	predominantly base metal dental restoration material
6605	http://purl.obolibrary.org/obo/OHD_0000156	predominantly base metal dental restoration material
6612	http://purl.obolibrary.org/obo/OHD_0000156	predominantly base metal dental restoration material
6613	http://purl.obolibrary.org/obo/OHD_0000156	predominantly base metal dental restoration material
6791	http://purl.obolibrary.org/obo/OHD_0000156	predominantly base metal dental restoration material
2781	http://purl.obolibrary.org/obo/OHD_0000156	predominantly base metal dental restoration material
6781	http://purl.obolibrary.org/obo/OHD_0000156	predominantly base metal dental restoration material
2794	http://purl.obolibrary.org/obo/OHD_0000136	titanium dental restoration material
6624	http://purl.obolibrary.org/obo/OHD_0000136	titanium dental restoration material
6634	http://purl.obolibrary.org/obo/OHD_0000136	titanium dental restoration material
6794	http://purl.obolibrary.org/obo/OHD_0000136	titanium dental restoration material
2931	http://purl.obolibrary.org/obo/OHD_0000137	stainless steel dental restoration material
2610	http://purl.obolibrary.org/obo/OHD_0000135	ceramic dental restoration material
2620	http://purl.obolibrary.org/obo/OHD_0000135	ceramic dental restoration material
2630	http://purl.obolibrary.org/obo/OHD_0000135	ceramic dental restoration material
2642	http://purl.obolibrary.org/obo/OHD_0000135	ceramic dental restoration material
2643	http://purl.obolibrary.org/obo/OHD_0000135	ceramic dental restoration material
2644	http://purl.obolibrary.org/obo/OHD_0000135	ceramic dental restoration material
2740	http://purl.obolibrary.org/obo/OHD_0000135	ceramic dental restoration material
6600	http://purl.obolibrary.org/obo/OHD_0000135	ceramic dental restoration material
6601	http://purl.obolibrary.org/obo/OHD_0000135	ceramic dental restoration material
6608	http://purl.obolibrary.org/obo/OHD_0000135	ceramic dental restoration material
6609	http://purl.obolibrary.org/obo/OHD_0000135	ceramic dental restoration material
6740	http://purl.obolibrary.org/obo/OHD_0000135	ceramic dental restoration material
2783	http://purl.obolibrary.org/obo/OHD_0000135	ceramic dental restoration material
6783	http://purl.obolibrary.org/obo/OHD_0000135	ceramic dental restoration material
2962	http://purl.obolibrary.org/obo/OHD_0000035	porcelain dental restoration material
2722	http://purl.obolibrary.org/obo/OHD_0000036|http://purl.obolibrary.org/obo/OHD_0000146	resin dental restoration material|noble metal dental restoration material
6722	http://purl.obolibrary.org/obo/OHD_0000036|http://purl.obolibrary.org/obo/OHD_0000146	resin dental restoration material|noble metal dental restoration material	
2720	http://purl.obolibrary.org/obo/OHD_0000036|http://purl.obolibrary.org/obo/OHD_0000147	resin dental restoration material|high noble metal dental restoration material
6720	http://purl.obolibrary.org/obo/OHD_0000036|http://purl.obolibrary.org/obo/OHD_0000147	resin dental restoration material|high noble metal dental restoration material
2721	http://purl.obolibrary.org/obo/OHD_0000036|http://purl.obolibrary.org/obo/OHD_0000156	resin dental restoration material|predominantly base metal dental restoration material
6721	http://purl.obolibrary.org/obo/OHD_0000036|http://purl.obolibrary.org/obo/OHD_0000156	resin dental restoration material|predominantly base metal dental restoration material
2933	http://purl.obolibrary.org/obo/OHD_0000137|http://purl.obolibrary.org/obo/OHD_0000036	stainless steel dental restoration material|resin dental restoration material
2752	http://purl.obolibrary.org/obo/OHD_0000035|http://purl.obolibrary.org/obo/OHD_0000146	porcelain dental restoration material|noble metal dental restoration material
6752	http://purl.obolibrary.org/obo/OHD_0000035|http://purl.obolibrary.org/obo/OHD_0000146	porcelain dental restoration material|noble metal dental restoration material
2750	http://purl.obolibrary.org/obo/OHD_0000035|http://purl.obolibrary.org/obo/OHD_0000147	porcelain dental restoration material|high noble metal dental restoration material
6750	http://purl.obolibrary.org/obo/OHD_0000035|http://purl.obolibrary.org/obo/OHD_0000147	porcelain dental restoration material|high noble metal dental restoration material
